horizon,metric,point,ci_low,ci_high,boot_std,n_boot
10,PR_AUC,0.6952932800802982,,,,400
10,recall,1.0,1.0,1.0,0.04993746088859544,400
10,precision,0.2537313432835821,0.11108562691131497,0.39217436974789915,0.07138020430461912,400
10,brier,0.0005880347903294882,0.00024875622348480503,0.000968806079500322,0.00018514989788815143,400
20,PR_AUC,0.8840707397058306,0.7701332163044553,0.9503099340427309,0.05054971214222747,400
20,recall,1.0,1.0,1.0,0.0,400
20,precision,0.44244604316546765,0.3076555023923445,0.5325299700299699,0.05658416629511568,400
20,brier,0.0023651310388733654,0.0012631703792297599,0.0034410001809321404,0.0005741794625790059,400
30,PR_AUC,0.9339655695023561,0.8885939271900065,0.9601819603903168,0.018241027038043832,400
30,recall,0.9849397590361446,0.969747425997426,0.9967845659163987,0.006825535408618452,400
30,precision,0.6673469387755102,0.5769692038882505,0.7477734711455641,0.04583283650297603,400
30,brier,0.005128050228211853,0.0033721151664295158,0.007126367436999787,0.0009590307430628897,400
