column,std,min,max,n_unique,range,near_constant
sensor_16,0.004691480615783347,0.02,0.03,2.0,0.009999999999999998,True
sensor_10,0.12772762950546215,0.93,1.32,21.0,0.39,False
operational_setting_2,0.3107718985255327,0.0,0.842,105.0,0.842,False
sensor_15,0.7506102164605233,8.1787,11.0663,10910.0,2.887600000000001,False
sensor_11,3.2444552217513416,36.07,48.36,724.0,12.29,False
sensor_5,3.6218446671091318,3.91,14.62,6.0,10.709999999999999,False
sensor_19,5.371214340340528,84.93,100.0,2.0,15.069999999999993,True
sensor_6,5.443080337347707,5.67,21.61,46.0,15.94,False
sensor_21,5.96043545226884,6.0843,23.8852,18553.0,17.800900000000002,False
sensor_20,9.93273722479737,10.18,39.89,635.0,29.71,False
operational_setting_3,14.256706941846131,60.0,100.0,2.0,40.0,True
operational_setting_1,14.778480735558572,0.0,42.008,536.0,42.008,False
sensor_1,26.428659375423898,445.0,518.67,6.0,73.66999999999996,False
sensor_17,27.810644511631974,302.0,399.0,53.0,97.0,False
sensor_2,37.34253395021771,535.48,644.42,1637.0,108.93999999999994,False
sensor_14,85.61622747213904,7845.78,8261.65,14109.0,415.8699999999999,False
sensor_3,106.16731878690088,1242.98,1613.0,12393.0,370.02,False
sensor_4,119.34389729818288,1025.52,1440.77,15353.0,415.25,False
sensor_13,128.24203931365284,2027.57,2390.49,444.0,362.91999999999985,False
sensor_12,138.44305043137726,128.31,537.49,5042.0,409.18,False
sensor_8,145.4112859832491,1914.72,2388.64,956.0,473.91999999999985,False
sensor_18,145.5321876279586,1915.0,2388.0,6.0,473.0,False
sensor_7,146.84302470866803,136.17,570.81,5296.0,434.64,False
sensor_9,336.8939495145084,7984.51,9196.81,20940.0,1212.2999999999993,False
